phi,dV_fd,dV_ana
4.5463e+011,9.4626e+032,9.376e+032
4.71708e+011,1.05976e+033,1.05009e+033
4.89429e+011,1.18685e+033,1.17608e+033
5.07815e+011,1.32925e+033,1.31721e+033
5.26892e+011,1.48864e+033,1.47521e+033
5.46686e+011,1.66713e+033,1.65214e+033
5.67223e+011,1.86701e+033,1.85029e+033
5.88532e+011,2.09094e+033,2.07225e+033
6.10641e+011,2.34159e+033,2.32074e+033
6.3358e+011,2.62225e+033,2.599e+033
6.57382e+011,2.93654e+033,2.91059e+033
6.82078e+011,3.28863e+033,3.25964e+033
7.07701e+011,3.68273e+033,3.65038e+033
7.34287e+011,4.12401e+033,4.08792e+033
7.61872e+011,4.61814e+033,4.57787e+033
7.90493e+011,5.17167e+033,5.12668e+033
8.20189e+011,5.79122e+033,5.74103e+033
8.51001e+011,6.48495e+033,6.42895e+033
8.8297e+011,7.26172e+033,7.19925e+033
9.1614e+011,8.13184e+033,8.06203e+033
9.50557e+011,9.10572e+033,9.02784e+033
